Item #,Quantity On Hand,Updated Qty,Item,Item Description,Color,Size,Team,Division/Logo,Date of Last Use,Category,Thumbnail,Image
CUP1010   ,100,100,BINOCULARS,"BLACK, BUSHNELL POWERVIEW",BLACK,,,,8/12/16,Donations,Untitled_files/thumbails/845.jpg,Untitled_files/fullsize/845.jpg
CUP1020   ,228,185,GOLF BALLS,"DOZ., TITLEIST PRO V1, 3-C LOGO",,DOZ,,,8/12/16,Golf Balls,Untitled_files/thumbails/366.jpg,Untitled_files/fullsize/366.jpg
CUP1062   ,18,18,"POLO, MEN'S","MD, SLATE/NAVY, NIKE, 1-C LOGO ON LEFT CHEST",SLATE/NAVY,MD,,,7/7/11,Donations,Untitled_files/thumbails/366.jpg,Untitled_files/fullsize/366.jpg
CUP1064   ,42,42,"POLO, MEN'S","XL, SLATE/NAVY, NIKE, 1-C LOGO ON LEFT CHEST",SLATE/NAVY,XL,,,2/8/13,Donations,Untitled_files/thumbails/440a.jpg,Untitled_files/fullsize/440a.jpg
CUP1065   ,31,31,"POLO, MEN'S","2XL, SLATE/NAVY, NIKE, 1-C LOGO ON LEFT CHEST",SLATE/NAVY,2XL,,,5/28/14,Donations,Untitled_files/thumbails/440a.jpg,Untitled_files/fullsize/440a.jpg
CUP1071   ,10,10,"POLO, LADIES","SM, SLATE/NAVY, NIKE, 1-C LOGO ON LEFT CHEST",SLATE/NAVY,SM,,,2/18/11,Donations,Untitled_files/thumbails/440a.jpg,Untitled_files/fullsize/440a.jpg
CUP1072   ,2,2,"POLO, LADIES","MD, SLATE/NAVY, NIKE, 1-C LOGO ON LEFT CHEST",SLATE/NAVY,MD,,,2/18/11,Donations,Untitled_files/thumbails/392a.jpg,Untitled_files/fullsize/392a.jpg
CUP1074   ,9,9,"POLO, LADIES","XL, SLATE/NAVY, NIKE, 1-C LOGO ON LEFT CHEST",SLATE/NAVY,XL,,,8/12/10,Donations,Untitled_files/thumbails/392a.jpg,Untitled_files/fullsize/392a.jpg
CUP1075   ,12,12,"POLO, LADIES","2XL, SLATE/NAVY, NIKE, 1-C LOGO ON LEFT CHEST",SLATE/NAVY,2XL,,,5/17/12,Donations,Untitled_files/thumbails/392a.jpg,Untitled_files/fullsize/392a.jpg
CUP1085   ,265,265,CUP,"10 OZ., FROSTED, FEDEX CUP",,10 OZ,,,6/25/15,Hospitality Supplies,Untitled_files/thumbails/146c.jpg,Untitled_files/fullsize/146c.jpg
CUP1088   ,5,5,CLOCK,"WITH SCHEDULE, FEDEX CUP",,,,,5/5/10,Donations,Untitled_files/thumbails/866.jpg,Untitled_files/fullsize/866.jpg
CUP1089   ,"1,271","1,260",MINTS,"GOLF BALL TIN, FEDEX CUP",,,,,10/9/15,Miscellaneous,Untitled_files/thumbails/376a.jpg,Untitled_files/fullsize/376a.jpg
CUP1090   ,6,6,NAME BADGE,"BLACK, PGA/FEDEX CUP",BLACK,,,,11/18/15,Credentials,Untitled_files/thumbails/131.jpg,Untitled_files/fullsize/131.jpg
CUP1096   ,5,8,APRON,"BLACK, PGA/FEDEX CUP",BLACK,,,,6/10/15,Hospitality Supplies,Untitled_files/thumbails/134.jpg,Untitled_files/fullsize/134.jpg
CUP1098   ,28,33,BUCKET,"BLACK, GOLF BALL, FOR GIFT PURPOSES",BLACK,,,,9/25/14,Miscellaneous,Untitled_files/thumbails/844.jpg,Untitled_files/fullsize/844.jpg
CUP1099   ,58,58,DIE CAST CAR,"1:24 SCALE, FEDEX CUP",,1:24 SCALE,,,12/3/12,Donations,Untitled_files/thumbails/420.jpg,Untitled_files/fullsize/420.jpg
CUP1219   ,1,1,GOLF BAG,"HALL OF FAME, VARIOUS AUTOGRAPHS",,,,,8/12/10,Miscellaneous,Untitled_files/thumbails/215.jpg,Untitled_files/fullsize/215.jpg
CUP1223   ,3,9,TABLECLOTH,"6', BLACK, SPANDEX",BLACK,6',,,9/10/10,Hospitality Supplies,Untitled_files/thumbails/211b.jpg,Untitled_files/fullsize/211b.jpg
CUP1224   ,40,40,TABLECLOTH,"48", SILVER, SPANDEX""8", SILVER, SPAND""", SILVER, SPAN"", SILVER, SPAN",SILVER,"48"""",,,5/19/09,Hospitality Supplies,Untitled_files/thumbails/204.jpg,Untitled_files/fullsize/204.jpg
CUP1225   ,15,15,TABLECLOTH,"72", SILVER, SPANDEX""2", SILVER, SPAND""", SILVER, SPAN"", SILVER, SPAN",SILVER,"72"""",,,1/19/10,Hospitality Supplies,Untitled_files/thumbails/261a.jpg,Untitled_files/fullsize/261a.jpg
CUP1235   ,1,1,PIN FLAG,"SET OF 18, FEDEXCUP",,SET OF 18,,,7/27/16,Hospitality Supplies,Untitled_files/thumbails/260.jpg,Untitled_files/fullsize/260.jpg
CUP1236   ,"1,662","4,534",LANYARD,"BLACK, FEDEXCUP",BLACK,,,,10/26/12,Credentials,Untitled_files/thumbails/013.jpg,Untitled_files/fullsize/013.jpg
CUP1237   ,"2,637","2,718",CREDENTIAL HOLDER,"4" X 6", BLANK""" X 6", BLAN"" X 6", BLAN""X 6", "" 6",,"4" X 6"""" X 6"" X 6",,,3/23/12,Credentials,Untitled_files/thumbails/143.jpg,Untitled_files/fullsize/143.jpg
CUP1242   ,2,6,TABLECLOTH,"60/72", BLACK, SPANDEX""0/72", BLACK, SP""/72", BLACK""72", BL""2", ""","",",BLACK,"60/72"""",,,1/19/10,Hospitality Supplies,Untitled_files/thumbails/262a.jpg,Untitled_files/fullsize/262a.jpg
CUP1258   ,1,1,PIN FLAG,"SET OF 18, (SET #3), MULTIPLE OPCOS",,,,,6/5/08,Hospitality Supplies,Untitled_files/thumbails/309.jpg,Untitled_files/fullsize/309.jpg
CUP1260   ,97,97,DISPLAY CASE,FOR FEDEXCUP DIECAST,,,,,8/10/11,Donations,Untitled_files/thumbails/421.jpg,Untitled_files/fullsize/421.jpg
CUP1261   ,13,17,POST-IT CUBE,"2 3/4" SQUARE, FEDEX CUP"" 3/4" SQUARE, FEDE""3/4" SQUARE, ""/4" SQUAR""4" SQU""" SQ"" SQ",,"2 3/4" SQUARE"" 3/4" S""3/",,,9/17/15,Donations,Untitled_files/thumbails/427.jpg,Untitled_files/fullsize/427.jpg
CUP1262   ,15,15,GOLF BAG,TITLEIST,,,,,10/5/15,Golf Balls,Untitled_files/thumbails/874.jpg,Untitled_files/fullsize/874.jpg
CUP1265   ,19,19,PIN FLAG,"PGA/FEDEX CUP, NO TUBES, FOR FIRST TEE EVENTS",,,,,2/8/16,Donations,Untitled_files/thumbails/867.jpg,Untitled_files/fullsize/867.jpg
CUP1270   ,3,3,"POLO, MEN'S","XL, WHITE, FAIRWAY & GREENE, FEDEX CUP/PGA",WHITE,XL,,,11/4/13,Donations,Untitled_files/thumbails/888.jpg,Untitled_files/fullsize/888.jpg
CUP1272   ,9,9,"POLO, LADIES","SM, WHITE, FAIRWAY & GREENE, FEDEX CUP/PGA",WHITE,SM,,,9/5/13,Donations,Untitled_files/thumbails/888.jpg,Untitled_files/fullsize/888.jpg
CUP1273   ,4,4,"POLO, LADIES","MD, WHITE, FAIRWAY & GREENE, FEDEX CUP/PGA",WHITE,MD,,,9/5/13,Donations,Untitled_files/thumbails/883.jpg,Untitled_files/fullsize/883.jpg
CUP1274   ,11,12,"POLO, LADIES","LG, WHITE, FAIRWAY & GREENE, FEDEX CUP/PGA",WHITE,LG,,,8/23/13,Donations,Untitled_files/thumbails/883.jpg,Untitled_files/fullsize/883.jpg
CUP1275   ,9,9,"POLO, LADIES","XL, WHITE, FAIRWAY & GREENE, FEDEX CUP/PGA",WHITE,XL,,,8/23/13,Donations,Untitled_files/thumbails/883.jpg,Untitled_files/fullsize/883.jpg
CUP1276   ,124,120,UMBRELLA,"BLACK/WHITE, GUSTBUSTER, FEDEX CUP/PGA",BLACK/WHITE,,,,10/9/15,Hospitality Supplies,Untitled_files/thumbails/855.jpg,Untitled_files/fullsize/855.jpg
CUP1278   ,"1,422","1,318",BADGE HOLDER,"4" X 3", WITH SLIT""" X 3", WITH SLI"" X 3", WITH SLI""X 3", WITH"" 3", W""3","""""",,"4" X 3"""" X 3"" X 3",,,6/19/12,Credentials,Untitled_files/thumbails/144.jpg,Untitled_files/fullsize/144.jpg
CUP1287   ,6,5,"STAFF ZR RAIN PANTS, LADIES","LG, BLACK, ZERO RESTRICTIONS",BLACK,LG,,,9/9/13,Staff Apparel,Untitled_files/thumbails/144.jpg,Untitled_files/fullsize/144.jpg
CUP1288   ,3,4,"STAFF ZR RAIN PANTS, LADIES","XL, BLACK, ZERO RESTRICTIONS",BLACK,XL,,,6/30/08,Staff Apparel,Untitled_files/thumbails/181.jpg,Untitled_files/fullsize/181.jpg
CUP1296   ,10,10,"STAFF POLO, MEN'S","LG, BLACK, NIKE BODY MAPPING, FEDEXCUP/PGA",BLACK,LG,,,5/19/16,Donations,Untitled_files/thumbails/896.jpg,Untitled_files/fullsize/896.jpg
CUP1297   ,7,7,"STAFF POLO, MEN'S","XL, BLACK, NIKE BODY MAPPING, FEDEXCUP/PGA",BLACK,XL,,,2/9/15,Donations,Untitled_files/thumbails/896.jpg,Untitled_files/fullsize/896.jpg
CUP1299   ,3,3,"STAFF POLO, LADIES","SM, BLACK, NIKE BODY MAPPING, FEDEXCUP/PGA",BLACK,SM,,,11/7/13,Donations,Untitled_files/thumbails/896.jpg,Untitled_files/fullsize/896.jpg
CUP1300   ,4,4,"STAFF POLO, LADIES","MD, BLACK, NIKE BODY MAPPING, FEDEXCUP/PGA",BLACK,MD,,,8/16/16,Donations,Untitled_files/thumbails/892.jpg,Untitled_files/fullsize/892.jpg
CUP1305   ,4,4,"STAFF POLO, MEN'S","LG, WHITE, NIKE BODY MAPPING, FEDEXCUP/PGA",WHITE,LG,,,8/16/16,Donations,Untitled_files/thumbails/897a.jpg,Untitled_files/fullsize/897a.jpg
CUP1306   ,2,2,"STAFF POLO, MEN'S","XL, WHITE, NIKE BODY MAPPING, FEDEXCUP/PGA",WHITE,XL,,,8/16/16,Donations,Untitled_files/thumbails/897a.jpg,Untitled_files/fullsize/897a.jpg
CUP1307   ,4,4,"STAFF POLO, MEN'S","2XL, WHITE, NIKE BODY MAPPING, FEDEXCUP/PGA",WHITE,2XL,,,10/22/11,Donations,Untitled_files/thumbails/897a.jpg,Untitled_files/fullsize/897a.jpg
CUP1308   ,8,8,"STAFF POLO, LADIES","SM, WHITE, NIKE BODY MAPPING, FEDEXCUP/PGA",WHITE,SM,,,7/18/13,Donations,Untitled_files/thumbails/897a.jpg,Untitled_files/fullsize/897a.jpg
CUP1309   ,4,4,"STAFF POLO, LADIES","SM, WHITE, NIKE BODY MAPPING, FEDEXCUP/PGA",WHITE,SM,,,8/16/16,Donations,Untitled_files/thumbails/890a.jpg,Untitled_files/fullsize/890a.jpg
CUP1310   ,8,3,"STAFF POLO, LADIES","SM, WHITE, NIKE BODY MAPPING, FEDEXCUP/PGA",WHITE,SM,,,8/13/15,Donations,Untitled_files/thumbails/890a.jpg,Untitled_files/fullsize/890a.jpg
CUP1313   ,1,1,TROPHY # 2,FEDEXCUP,,,,,6/14/16,Miscellaneous,Untitled_files/thumbails/346.jpg,Untitled_files/fullsize/346.jpg
CUP1314   ,1,1,TROPHY BASE # 2,FOR FEDEXCUP TROPHY,,,,,6/10/16,Miscellaneous,Untitled_files/thumbails/525.jpg,Untitled_files/fullsize/525.jpg
CUP1315   ,2,3,GOLF BAG,"BELDING, FEDEXCUP/THE FIRST TEE",,,,,3/6/14,Miscellaneous,Untitled_files/thumbails/302.jpg,Untitled_files/fullsize/302.jpg
CUP1322   ,15,15,STASH TRAY,GIFT WRAPPED,BLACK,,,,1/11/12,Donations,Untitled_files/thumbails/851.jpg,Untitled_files/fullsize/851.jpg
