Item #,Quantity On Hand,Item,Item Description,,Color,Size,Date of Last Use
CUP2530   ,18,CAP,MEN'S; DARK GREY & BLACK; OGIO; FEDEXCUP,Apparel,,,2/16/16
CUP2412   ,1,LADIES JACKET,"JOFIT, FULL ZIP, CHARCOAL, LEFT ARM-PEBBLE BEACH LOGO, RIGHT ARM-FEDEX, MD",Apparel,CHARCOAL,MD,11/18/15
CUP2413   ,7,LADIES JACKET,"JOFIT, FULL ZIP, CHARCOAL, LEFT ARM-PEBBLE BEACH LOGO, RIGHT ARM-FEDEX, LG",Apparel,CHARCOAL,LG,11/18/15
CUP2414   ,7,LADIES JACKET,"JOFIT, FULL ZIP, CHARCOAL, LEFT ARM-PEBBLE BEACH LOGO, RIGHT ARM-FEDEX, XL",Apparel,CHARCOAL,XL,11/18/15
CUP2415   ,1,LADIES JACKET,"JOFIT, FULL ZIP, CHARCOAL, LEFT ARM-PEBBLE BEACH LOGO, RIGHT ARM-FEDEX, 2XL",Apparel,CHARCOAL,2XL,11/18/15
CUP2571   ,15,LADIES T-SHIRT,"BELLA/CANVAS, FEDEX",Apparel,PURPLE,SM,8/24/16
CUP2422   ,3,MEN'S PULLOVER,"ADIDAS, BLACK, RIGHT ARM-FEDEX, MD",Apparel,BLACK,MD,5/31/16
CUP2423   ,1,MEN'S PULLOVER,"ADIDAS, BLACK, RIGHT ARM-FEDEX, LG",Apparel,BLACK,LG,5/31/16
CUP2424   ,4,MEN'S PULLOVER,"ADIDAS, BLACK, RIGHT ARM-FEDEX, XL",Apparel,BLACK,XL,11/18/15
CUP2320   ,1,POLO,"WOMEN'S CARBON COLOR, FEDEX CUP/LEFT CHEST, XS",Apparel,CARBON,XS,8/16/16
CUP2321   ,1,POLO,"WOMEN'S CARBON COLOR, FEDEX CUP/LEFT CHEST, SM",Apparel,CARBON,SM,8/16/16
CUP2325   ,4,POLO,"WOMEN'S CARBON COLOR, FEDEX CUP/LEFT CHEST, 2XL",Apparel,CARBON,2XL,7/2/15
CUP2331   ,5,POLO,"MEN'S CARBON COLOR, FEDEX CUP/LEFT CHEST, SM",Apparel,CARBON,SM,8/16/16
CUP2332   ,8,POLO,"MEN'S CARBON COLOR, FEDEX CUP/LEFT CHEST, MD",Apparel,CARBON,MD,8/16/16
CUP2333   ,13,POLO,"MEN'S CARBON COLOR, FEDEX CUP/LEFT CHEST, LG",Apparel,CARBON,LG,8/16/16
CUP2335   ,3,POLO,"MEN'S CARBON COLOR, FEDEX CUP/LEFT CHEST, 2XL",Apparel,CARBON,2XL,8/16/16
CUP2301   ,23,SHIRT,"WHITE W/ PURPLE&ORANGE PLAID, IJP/FESJC, SM",Apparel,PURPLE & ORANGE,SM,7/15/15
CUP2302   ,105,SHIRT,"WHITE W/ PURPLE&ORANGE PLAID, IJP/FESJC, MD",Apparel,PURPLE & ORANGE,MD,7/15/15
CUP2303   ,243,SHIRT,"WHITE W/ PURPLE&ORANGE PLAID, IJP/FESJC, LG",Apparel,PURPLE & ORANGE,LG,7/15/15
CUP2304   ,276,SHIRT,"WHITE W/ PURPLE&ORANGE PLAID, IJP/FESJC, XL",Apparel,PURPLE & ORANGE,XL,7/15/15
CUP2305   ,92,SHIRT,"WHITE W/ PURPLE&ORANGE PLAID, IJP/FESJC, 2XL",Apparel,PURPLE & ORANGE,2XL,7/15/15
CUP1278   ,"1,422",BADGE HOLDER,"4"" X 3"", WITH SLIT",Credentials,,"4"" X 3""",6/19/12
CUP1429   ,63,BADGE HOLDER,BLANK,Credentials,,"4 1/2"" X 8""",4/15/16
CUP2538   ,"5,250",BADGE HOLDERS,"CLEAR, FEDEX LOGO IN PURPLE, 4 1/2 x 8",Credentials,CLEAR,4 1/2 x 8,4/19/16
CUP1237   ,"2,637",CREDENTIAL HOLDER,"4"" X 6"", BLANK",Credentials,,"4"" X 6""",3/23/12
CUP1962   ,405,ENVELOPE,# 10 STRING TIE: PURPLE,Credentials,PURPLE,# 10,5/20/16
CUP1236   ,"1,662",LANYARD,"BLACK, FEDEXCUP",Credentials,BLACK,,10/26/12
CUP2084   ,21,LANYARD,"NAVY: 3/8"": PGA TOUR",Credentials,NAVY,"3/8""",10/11/13
CUP2537   ,"4,750",LANYARD,"3/4"", PURPLE/GREEN/ORANGE MIXED, FEDEXCUP LOGO IN WHITE",Credentials,,,4/15/16
CUP1090   ,6,NAME BADGE,"BLACK, PGA/FEDEX CUP",Credentials,BLACK,,11/18/15
CUP1959   ,418,NAME BADGE,"PURPLE W/MAGNET: FEDEXCUP: 1.5"" X 3""",Credentials,PURPLE,"1.5"" X 3""",2/8/16
CUP1960   ,41,NAME BADGE,"WHITE W/MAGNET: FEDEXCUP: 1.5"" X 3""",Credentials,WHITE,"1.5"" X 3""",6/8/16
CUP2188   ,16,NAME BADGE,"1 3/4"" X 3 1/8"", TAN, FEDEXCUP HOST",Credentials,TAN,"1 3/4"" X 3 1/8""",6/20/16
CUP2547   ,"1,490",NAME BADGE,"SILVER W/ MAGNET, PURPLE FEDEX",Credentials,SILVER,"1.5"" X 3""",8/30/16
CUP2548   ,"1,493",NAME BADGE,"SILVER W/MAGNET, PURPLE FEDEX HOST",Credentials,SILVER,"1.5"" X 3""",8/30/16
CUP2549   ,"5,303",NAME BADGE,"WHITE W/MAGNET, PURPLE/SILVER FEDEX",Credentials,WHITE,"1.5"" X 3""",8/30/16
CUP1694   ,"1,500",TICKET HOLDER,"TWO PART, 4 1/2"" X 9"", BLANK",Credentials,,"4 1/2"" X 9""",6/10/16
CUP1010   ,100,BINOCULARS,"BLACK, BUSHNELL POWERVIEW",Donations,BLACK,,8/12/16
CUP1785   ,41,CAP,LADIES; IMPERIAL: WHITE WITH FEDEXCUP /TOUR CHAMPIONSHIP BY COCA-COLA: POLY/COTTON,Donations,WHITE,,9/9/14
CUP1088   ,5,CLOCK,"WITH SCHEDULE, FEDEX CUP",Donations,,,5/5/10
CUP1588   ,40,COOLER,"BLACK/BLUE, FEDEXCUP",Donations,BLACK/BLUE,,4/20/15
CUP1099   ,58,DIE CAST CAR,"1:24 SCALE, FEDEX CUP",Donations,,1:24 SCALE,12/3/12
CUP1260   ,97,DISPLAY CASE,FOR FEDEXCUP DIECAST,Donations,,,8/10/11
CUP1550   ,137,FLASH DRIVE,"2GB, CREDIT CARD STYLE, FEDEXCUP",Donations,WHITE,2GB,9/25/14
CUP1744   ,40,GIFT SACK # 2,"INCLUDES COTTON CINCHBAG, STAINLESS TUMBLER, CAP, USB DRIVE, LIP BALM, EGRIP, AND TOWEL",Donations,,,7/19/16
CUP1970   ,10,HAT,AHEAD; SANDWICH,Donations,NAVY/KHAKI ,,10/4/12
CUP1971   ,12,HAT,AHEAD; SANDWICH; THE PRESIDENTS CUP,Donations,TAUPE/KHAKI ,,10/4/12
